id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q15710848,President of the Central African Republic,Q929,Q929,,Q1969668,,,,,
Q48998251,Vice President of the Central African Republic,Q929,Q929,,,,,,,Vice President of the Central African Republic
Q16773091,Prime Minister of the Central African Republic,Q929,Q929,,Q2062793,,,,,
Q112062104,Minister of Agricultural Modernisation and Development,Q929,Q929,,,,,,,
Q112062105,Minister of Agriculture and Livestock,Q929,Q929,,,,,,,
Q112062106,Minister of Civil Service and Employment,Q929,Q929,,,,,,,
Q112062107,"Minister of Civil Service, Labour and Social Security",Q929,Q929,,,,,,,
Q112062108,"Minister of Civil Service, Posts and Telecommunications",Q929,Q929,,,,,,,
Q112062109,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights",Q929,Q929,,,,,,,
Q112062110,Minister of Communications,Q929,Q929,,,,,,,
Q112062113,"Minister of Communications, National Reconciliation and Democratic and Civic Culture",Q929,Q929,,,,,,,
Q112062114,Minister of Culture and Relations with the Parliament,Q929,Q929,,,,,,,
Q112062115,Minister of Defence,Q929,Q929,,,,,,,
Q112062116,"Minister of Economy, Finance and Planning",Q929,Q929,,,,,,,
Q112062118,"Minister of Economy, Planning and Cooperation",Q929,Q929,,,,,,,
Q112062119,"Minister of Economy, Planning and International Cooperation",Q929,Q929,,,,,,,
Q112062120,Minister of Education,Q929,Q929,,,,,,,
Q112062121,Minister of Energy and Mines,Q929,Q929,,,,,,,
Q112062122,"Minister of Environment, Sustainable Development and National Economy",Q929,Q929,,,,,,,
Q112062123,"Minister of Environment, Water, Forests, Hunting and Fisheries",Q929,Q929,,,,,,,
Q112062124,Minister of Equipment and Transport,Q929,Q929,,,,,,,
Q112062125,"Minister of Equipment, Territorial Development and Town Planning",Q929,Q929,,,,,,,
Q112062126,Minister of Family and Social Affairs,Q929,Q929,,,,,,,
Q112062127,"Minister of Family, Social Affairs and National Solidarity",Q929,Q929,,,,,,,
Q112062128,Minister of Finance,Q929,Q929,,,,,,,
Q18204366,Minister of Foreign Affairs,Q929,Q929,,,,,,,Minister of Foreign Affairs (Central African Republic)
Q112062129,"Minister of Foreign Affairs, Regional Integration and Francophone Affairs",Q929,Q929,,,,,,,
Q112062130,Minister of Health and Population,Q929,Q929,,,,,,,
Q112062131,Minister of Higher Education and Scientific Research,Q929,Q929,,,,,,,
Q112062132,Minister of Housing and Town Planning,Q929,Q929,,,,,,,
Q112062133,Minister of Industry and Trade,Q929,Q929,,,,,,,
Q112062134,Minister of Interior,Q929,Q929,,,,,,,
Q112062136,Minister of Interior and Public Security,Q929,Q929,,,,,,,
Q112062138,"Minister of Interior, Territorial Administration",Q929,Q929,,,,,,,
Q112062139,Minister of Justice,Q929,Q929,,,,,,,
Q112062140,"Minister of Justice, Human Rights and Good Governance",Q929,Q929,,,,,,,
Q112062141,Minister of Livestock Development,Q929,Q929,,,,,,,
Q112062142,"Minister of National Education, Literacy, Higher Education and Research",Q929,Q929,,,,,,,
Q112062143,Minister of Posts and Telecommunications,Q929,Q929,,,,,,,
Q112062144,"Minister of Posts and Telecommunications, New Technologies",Q929,Q929,,,,,,,
Q112062145,Minister of Presidential Affairs,Q929,Q929,,,,,,,
Q112062146,Minister of Promotion of Rural Life,Q929,Q929,,,,,,,
Q112062147,Minister of Public Health and Population,Q929,Q929,,,,,,,
Q112062148,"Minister of Public Works, Transport, Marginalized Regions and Settlement",Q929,Q929,,,,,,,
Q112062149,"Minister of Reconstruction of Public Buildings, Urban Development and Housing",Q929,Q929,,,,,,,
Q112062150,Minister of Relations with the Parliament,Q929,Q929,,,,,,,
Q112062151,Minister of Territorial Administration,Q929,Q929,,,,,,,
Q112062152,Minister of Tourism,Q929,Q929,,,,,,,
Q112062153,Minister of Tourism and Craft Industry Development,Q929,Q929,,,,,,,
Q112062154,Minister of Town Planning and Public Buildings,Q929,Q929,,,,,,,
Q112062155,Minister of Trade,Q929,Q929,,,,,,,
Q112062156,"Minister of Trade, Industry and Private Sector Promotion",Q929,Q929,,,,,,,
Q112062157,"Minister of Water, Forests and Fisheries",Q929,Q929,,,,,,,
Q112062158,"Minister of Water, Forests, Hunting and Fishing",Q929,Q929,,,,,,,
Q112062159,"Minister of Works, Civil Aviation and Transport",Q929,Q929,,,,,,,
Q112062160,Minister of Youth and Sport,Q929,Q929,,,,,,,
Q112062161,"Minister of Youths, Sports, Arts and Culture",Q929,Q929,,,,,,,
Q108822572,President of the National Assembly of the Central African Republic,Q929,Q929,,Q6594822,,,,,
Q15710852,Mayor of Bangui,Q929,Q3832,,,,,,,
